"","realtime","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","Light"
"1",0,"","","","","","","","","","","","","off"
"2",1,"","","","","","","","","","","","",""
"3",2,"","","","","","","","","","","","",""
"4",3,"","","","","","","","","","","","",""
"5",4,"","","","","","e","","","","","","",""
"6",5,"","","","","","e","","","","","","",""
"7",6,"","","","","","","","","","","","",""
"8",7,"","","","","","","","d","","","","",""
"9",8,"","","","e","","","","e","","","","",""
"10",9,"","","","e","","","","","","","","",""
"11",10,"","","","","","e","","e","","","","",""
"12",11,"","","","e","","","","e","","","","",""
"13",12,"","","","","","","","","","","","",""
"14",13,"","","","","","","","","","","","",""
"15",14,"","","","","","","","","","","","",""
"16",15,"","","","e","","","","","","","","",""
"17",16,"","","","","","","","","","","","",""
"18",17,"","","","e","","","","","","","","",""
"19",18,"","","","e","","","","","","","","",""
"20",19,"","","","e","","","","","","","","",""
"21",20,"","","","e","","","","","","","","",""
"22",21,"","","","e","","e","","","","","","",""
"23",22,"","","","","","e","","","","","","",""
"24",23,"","","","","","","","","","","","",""
"25",24,"","","","","","","","","","","","",""
"26",25,"","","","d","","","","","","","","",""
"27",26,"","","","e","","e","","","","","","",""
"28",27,"","","","e","","","","","","","","",""
"29",28,"","","","e","","","","","","","","",""
"30",29,"","","","e, d","","","","","","","","",""
"31",30,"","","","e","","","","","","","","",""
"32",31,"","","","e","","","","","","","","",""
"33",32,"","","","e, d","","e","","","","","","",""
"34",33,"","","","e","","e","","","","","","",""
"35",34,"","","","","e","e","","","","","","",""
"36",35,"","","","","","e","","","","","","",""
"37",36,"","","","","","","","","","","","",""
"38",37,"","","","","","","","","","","","",""
"39",38,"","","","","","","","","","","","",""
"40",39,"","","","","","","","","","","","",""
"41",40,"","","","","","e, d","","","","","","",""
"42",41,"","","","","","","e","","","","","",""
"43",42,"e","","","","","","e","","","","","",""
"44",43,"e","","","","e","e","e","","","","","",""
"45",44,"d","","","","e","","","","","","","",""
"46",45,"","e","","","","","e","","","","","",""
"47",46,"","","","","","","e","","e","","","",""
"48",47,"","","","","","","","","","","","",""
"49",48,"","","","","","","e, d","","","","","",""
"50",49,"","","","e, d","","","e","","","","","e",""
"51",50,"","","","","","","e","","","","","e",""
"52",51,"","e","","","","","","","","","","",""
"53",52,"","e","","e","","","","","","","","",""
"54",53,"","e","","e","","","","","","","","",""
"55",54,"","e","","e","","","e, d","","","","","",""
"56",55,"d","","","e","","","","","","","","",""
"57",56,"e","","","e, d","","","","","","","","",""
"58",57,"","","","e","","","","","","","","",""
"59",58,"","","","e","","","e","","","","","",""
"60",59,"","","","e","","","e","","","","","",""
"61",60,"","","","","e","","","","e","e","e","",""
"62",61,"","","","","","","","","","","","",""
"63",62,"","","","","","","","","","","","",""
"64",63,"","","","","","","e, d","","","","","",""
"65",64,"","e","","","","","","","","","","",""
"66",65,"","","","e, d","","","","","e","","","",""
"67",66,"","","","","","","","","d","","","",""
"68",67,"","e","","","","","e, d","","","","","",""
"69",68,"","","","e","","","","","","","","",""
"70",69,"","","","e","","","","","","","","e, d",""
"71",70,"","","","","e","","","","","","","",""
"72",71,"","","","","e","","","","","","","",""
"73",72,"e","","","","e","","","","","","","",""
"74",73,"","","","","","","","","e, d","","","e",""
"75",74,"d","","","","","","","","","","","",""
"76",75,"","","","","","","","","","","","",""
"77",76,"","e, d","","","","","","","e","","","",""
"78",77,"","","","","","d","","","e","","","",""
"79",78,"","e","","","","","e","","e","","","",""
"80",79,"","e","","e, d","","","","","e","","","",""
"81",80,"","e","e","e","","","","","","","","",""
"82",81,"","","e","","","","","","e, d","","","",""
"83",82,"","","","","e","e","e","","e","","","",""
"84",83,"","","","","","","e, d","","","e","","",""
"85",84,"","","","","","e, d","e","","","e","","",""
"86",85,"","","","","","e","e","","","e, d","","e",""
"87",86,"e","e","e","","","","e, d","","e","e","","",""
"88",87,"","","","","e","","","","e, d","","","",""
"89",88,"","","","","e","","","","e","","","",""
"90",89,"","","","","","","","","e","e","","",""
"91",90,"","","","","","e","","","","e","","",""
"92",91,"","","","","","","","","","e, d","","e",""
"93",92,"","","","e","","","e","","","","","",""
"94",93,"","e","","d","","","","","e","","","",""
"95",94,"","","","e","e","","","","e","","","",""
"96",95,"","","","e","","","","e","e","","","",""
"97",96,"","","","e, d","","","","","e","","","",""
"98",97,"","","","","","","","","e","e","","",""
"99",98,"","","","","","e","e","","e","e","","",""
"100",99,"d","","","d","","","e, d","","","","","",""
"101",100,"","","","","e","","","","","","","",""
"102",101,"","e","","","","","","","","","","",""
"103",102,"","","","","","","","","","","","",""
"104",103,"","","","","","d","","","","","","",""
"105",104,"","","","","","","","","","","","",""
"106",105,"","","","e","e","","","","","","","",""
"107",106,"","","","e","e","","","","","","","",""
"108",107,"","","","","","","d","","","","","",""
"109",108,"","d","","","","","","e","","","","",""
"110",109,"e, d","","","","d","","","","e, d","","","",""
"111",110,"","","","","","","","","","","","",""
"112",111,"e","","","d","","","","e","","","","",""
"113",112,"","e","","","","","","","","","","",""
"114",113,"","","","e","","","","","","","","",""
"115",114,"","","","","","","","","e, d","","","",""
"116",115,"d","","","","","","","","","e, d","","",""
"117",116,"","","","","","","","","e","e","","",""
"118",117,"","","","","","","e, d","","","e","","",""
"119",118,"","","e","e","","","e","","e","e","","",""
"120",119,"","","","e","","","e, d","","e","e","","e, d",""
"121",120,"","","e","d","","","d","","e","","","",""
"122",121,"","","e","e, d","","","e","","e","","","",""
"123",122,"d","","e","","","","e","","e","d","","",""
"124",123,"e","e, d","","","e, d","","e","","","","","",""
"125",124,"","","","","","","e","","","e","","",""
"126",125,"d","e","d","","","","","","","e","","",""
"127",126,"","e","e","","","","","","d","","","",""
"128",127,"","","","","e","","","","","","","",""
"129",128,"","d","","e","","","","","e","d","","",""
"130",129,"","","e, d","","e, d","","","","e","","","",""
"131",130,"","","e","","","","","","e","","","",""
"132",131,"","","d","d","","","","","e","","","",""
"133",132,"","e","e, d","e, d","","","","","e","","","",""
"134",133,"","e","e","","","","","","","","","",""
"135",134,"","","e, d","","e","","e, d","","","e","","",""
"136",135,"","e","","","","","e","","","e","","",""
"137",136,"","","","","d","","e","","","e","","",""
"138",137,"","e","","","","","e","","","e","","",""
"139",138,"","e","e, d ","","e","e","","","","e","","",""
"140",139,"","","e","","","e","","","","","","",""
"141",140,"","","","e","","d","","","","","","",""
"142",141,"d","","","e","","","","","","","","",""
"143",142,"e","","d","e","","","","","d","","","",""
"144",143,"e","","","","","","","","","","","",""
"145",144,"e","","e","","","","","","","","","e, d",""
"146",145,"e","","d","","","","d","","e","","","",""
"147",146,"","","","","","e","e","","e","","","",""
"148",147,"","","","","","","e","","e","","","",""
"149",148,"","","","","","","e","","e","","","",""
"150",149,"","","d ","","","e","e","","e, d","e","","",""
"151",150,"","","","","","","d","","","","e","",""
"152",151,"","","e, d","","","e","","","e","","","",""
"153",152,"","","e","","","e","","","","","","",""
"154",153,"","","","","","e","","","","","","",""
"155",154,"","","","","","","","","","","","",""
"156",155,"","","","","","","","","","","","",""
"157",156,"","","","","","","","d","","","","",""
"158",157,"","","","","","","","","","","","",""
"159",158,"","","","","","","","","","","","",""
"160",159,"","","","","","","","","","","","e",""
"161",160,"","","","","","","","e, d ","","","","e",""
"162",161,"","","","","","","","","","","","e",""
