Duration_sf,Behavior,Event_Type,Side,Time
6.62,drink,State start,left,1:29:13
0,drink,State stop,left,1:29:19
2.4,drink,State start,left,1:54:12
0,drink,State stop,left,1:54:15
24.18,eat,State start,left,2:45:58
0,eat,State stop,left,2:46:22
9.96,drink,State start,left,3:12:38
0,drink,State stop,left,3:12:48
2.7,eat,State start,left,4:16:31
0,eat,State stop,left,4:16:34
3.66,drink,State start,left,0:23:56
0,drink,State stop,left,0:24:00
17.88,eat,State start,left,2:07:15
0,eat,State stop,left,2:07:33
10.56,drink,State start,left,3:23:35
0,drink,State stop,left,3:23:45
"14.54,2.3",eat,State start,left,6:25:12
0,eat,State stop,left,6:25:26
4.74,drink,State start,left,6:38:52
0,drink,State stop,left,6:38:57
4.42,eat,State start,left,7:49:31
0,eat,State stop,left,7:49:35
7.98,drink,State start,left,7:54:40
0,drink,State stop,left,7:54:48
"2.96,1.72",eat,State start,left,8:02:53
0,eat,State stop,left,8:02:56
2.34,drink,State start,left,8:05:05
0,drink,State stop,left,8:05:07
4.82,eat,State start,left,12:20:20
0,eat,State stop,left,12:20:25
15.08,eat,State start,left,13:04:40
0,eat,State stop,left,13:04:55
7.72,drink,State start,left,0:02:21
0,drink,State stop,left,0:02:29
50.16,eat,State start,left,0:53:02
0,eat,State stop,left,0:53:52
"2.74,4.7",drink,State start,left,1:33:22
0,drink,State stop,left,1:33:25
9.8,drink,State start,right,0:44:29
0,drink,State stop,right,0:44:39
32.64,eat,State start,right,0:48:13
0,eat,State stop,right,0:48:46
"19.12,3.24",eat,State start,right,0:49:26
0,eat,State stop,right,0:49:46
6.8,drink,State start,right,0:59:13
0,drink,State stop,right,0:59:20
"18.24,7.64",eat,State start,right,1:37:00
0,eat,State stop,right,1:37:18
1,eat,State start,right,2:07:15
0,eat,State stop,right,2:07:16
25.52,eat,State start,right,2:38:25
0,eat,State stop,right,2:38:50
1.32,drink,State start,right,2:47:25
0,drink,State stop,right,2:47:26
1.88,drink,State start,right,4:00:52
0,drink,State stop,right,4:00:54
"9.44,13.6",eat,State start,right,4:23:00
0,eat,State stop,right,4:23:09
23.8,eat,State start,right,4:46:36
0,eat,State stop,right,4:47:00
"10.2,2.4",drink,State start,right,0:31:00
0,drink,State stop,right,0:31:10
19.6,eat,State start,right,0:33:36
0,eat,State stop,right,0:33:56
2.2,drink,State start,right,3:11:57
0,drink,State stop,right,3:12:00
5.32,eat,State start,right,3:17:47
0,eat,State stop,right,3:17:53
60,eat,State start,right,5:43:00
0,eat,State stop,right,5:44:00
"11.6,5.8,2.52,5.12",drink,State start,right,5:44:08
0,drink,State stop,right,5:44:20
19.68,eat,State start,right,5:59:40
0,eat,State stop,right,6:00:00
11.92,drink,State start,right,6:37:37
0,drink,State stop,right,6:37:49
6.84,drink,State start,right,9:35:15
0,drink,State stop,right,9:35:21
1.64,drink,State start,right,11:25:58
0,drink,State stop,right,11:26:00
4.68,eat,State start,right,12:19:55
0,eat,State stop,right,12:20:00
15,eat,State start,right,0:55:44
0,eat,State stop,right,0:55:59
16.52,eat,State start,right,1:44:43
0,eat,State stop,right,1:45:00
