Duration_sf,Behavior,Event_Type,Side,Time
6.23944,drink,State start,left,00:59:31
0,drink,State stop,left,00:59:37
2.20216,eat,State start,left,02:03:25
0,eat,State stop,left,02:03:27
3.26987,eat,State start,left,02:08:31
0,eat,State stop,left,02:08:34
1.63493,drink,State start,left,02:47:24
0,drink,State stop,left,02:47:25
9.00882,drink,State start,left,03:04:37
0,drink,State stop,left,03:04:46
1.7684,drink,State start,left,04:58:10
0,drink,State stop,left,04:58:11
15.2149,drink,State start,left,01:15:40
0,drink,State stop,left,01:15:55
3.10304,drink,State start,left,03:26:25
0,drink,State stop,left,03:26:28
5.2051,drink,State start,left,06:19:24
0,drink,State stop,left,06:19:29
5.57212,eat,State start,left,06:40:54
0,eat,State stop,left,06:40:59
7.37389,drink,State start,left,07:02:06
0,drink,State stop,left,07:02:13
7.23673,drink,State start,left,07:24:52
0,drink,State stop,left,07:24:59
35.5348,eat,State start,left,07:54:24
0,eat,State stop,left,07:55:00
3.20314,drink,State start,left,09:58:33
0,drink,State stop,left,09:58:36
59.9921,eat,State start,left,13:56:00
0,eat,State stop,left,13:57:00
9.00882,eat,State start,left,14:41:50
0,eat,State stop,left,14:41:59
7.24,eat,State start,right,00:46:29
0,eat,State stop,right,00:46:36
4.52,eat,State start,right,02:55:18
0,eat,State stop,right,02:55:22
10.72,eat,State start,right,02:55:25
0,eat,State stop,right,02:55:35
2.16,drink,State start,right,03:40:27
0,drink,State stop,right,03:40:29
15,eat,State start,right,04:21:00
0,eat,State stop,right,04:21:15
5.76,eat,State start,right,04:24:34
0,eat,State stop,right,04:24:40
2.6,drink,State start,right,04:59:57
0,drink,State stop,right,05:00:00
8.16,eat,State start,right,05:14:51
0,eat,State stop,right,05:15:00
4.44,drink,State start,right,05:27:00
0,drink,State stop,right,05:27:04
26.4,eat,State start,right,00:03:33
0,eat,State stop,right,00:04:00
14.8,drink,State start,right,00:07:33
0,drink,State stop,right,00:07:47
16.4,eat,State start,right,01:33:12
0,eat,State stop,right,01:33:29
2.64,drink,State start,right,01:55:41
0,drink,State stop,right,01:55:43
6.4,drink,State start,right,03:00:10
0,drink,State stop,right,03:00:17
25.52,eat,State start,right,03:19:34
0,eat,State stop,right,03:20:00
0.52,drink,State start,right,03:35:10
0,drink,State stop,right,03:35:10
0.48,drink,State start,right,03:43:34
0,drink,State stop,right,03:43:35
9.64,eat,State start,right,03:59:18
0,eat,State stop,right,03:59:28
14.16,eat,State start,right,04:36:29
0,eat,State stop,right,04:36:43
14.2,eat,State start,right,04:36:45
0,eat,State stop,right,04:37:00
10.24,eat,State start,right,04:50:00
0,eat,State stop,right,04:50:10
10.08,drink,State start,right,06:25:00
0,drink,State stop,right,06:25:10
20.32,eat,State start,right,07:35:39
0,eat,State stop,right,07:36:00
31.76,eat,State start,right,07:45:28
0,eat,State stop,right,07:46:00
13.16,drink,State start,right,11:24:13
0,drink,State stop,right,11:24:26
2.76,drink,State start,right,14:13:47
0,drink,State stop,right,14:13:50
60,eat,State start,right,14:53:00
0,eat,State stop,right,14:54:00
